Supplier_Name,Rate_Type,Fixed_Charge,Variable_Rate,Introductory_Rate,Enrollment_Fee,Contract_Term,Early_Termination_Fee,Automatic_Renewal_Type,Percent_Renewable,New_Regional_Resources,Incentives_Special_Terms,Est_Monthly_Bill_Default,Date_Downloaded,Incumbent_Flag,Plan_Order_Rank
NSTAR d/b/a Eversource Energy, , ,0.10836, , ,Jul '19 through Dec '19 |Jan '20 through Jun '20 , , , , , ,$65.02,11/10/19 16:14,True,1
Town Square Energy,Fixed, ,0.1042, , ,12 months, ,Variable-price product, ,No,,$62.52,11/10/19 16:14,False,2
Residents Energy,Fixed, ,0.1047, , ,12 months,$10.00 per month remaining on term,Variable-price product, ,No,,$62.82,11/10/19 16:14,False,3
Starion Energy,Fixed, ,0.10490000000000001, , ,12 months, ,Variable-price product, ,No,"Gift Card,Rewards Programs",$62.94,11/10/19 16:14,False,4
Starion Energy,Fixed, ,0.1079, , ,12 months, ,Variable-price product,100%,No,"Gift Card,Rewards Programs",$64.74,11/10/19 16:14,False,5
Town Square Energy,Fixed, ,0.1097, , ,36 months,$50.00,Variable-price product, ,No,,$65.82,11/10/19 16:14,False,6
Liberty Power Holdings,Fixed, ,0.10987999999999999, , ,36 months,$10.00 per month remaining on term,Variable-price product, ,No,Gift Card,$65.93,11/10/19 16:14,False,7
Starion Energy,Fixed, ,0.1099, , ,8 months, ,Variable-price product, ,No,"Gift Card,Rewards Programs",$65.94,11/10/19 16:14,False,8
Constellation New Energy,Fixed, ,0.1109, , ,12 months,$150.00,Variable-price product, ,No,,$66.54,11/10/19 16:14,False,9
Liberty Power Holdings,Fixed, ,0.11188000000000001, , ,36 months,$10.00 per month remaining on term,Variable-price product,100%,No,Gift Card,$67.13,11/10/19 16:14,False,10
Starion Energy,Fixed, ,0.11289999999999999, , ,8 months, ,Variable-price product,100%,No,"Gift Card,Rewards Programs",$67.74,11/10/19 16:14,False,11
Town Square Energy,Fixed, ,0.1157, , ,24 months,$50.00,Variable-price product, ,No,,$69.42,11/10/19 16:14,False,12
Liberty Power Holdings,Fixed, ,0.11588, , ,24 months,$10.00 per month remaining on term,Variable-price product,100%,No,Gift Card,$69.53,11/10/19 16:14,False,13
Think Energy,Fixed, ,0.11599999999999999, , ,24 months,$45.00,No automatic renewal,100%,No,,$69.60,11/10/19 16:14,False,14
Energy Rewards,Fixed, ,0.1189, , ,6 months,$50.00,Fixed-price product, ,No,,$71.34,11/10/19 16:14,False,15
Residents Energy,Fixed, ,0.1199, , ,24 months,$10.00 per month remaining on term,Variable-price product, ,No,,$71.94,11/10/19 16:14,False,16
Think Energy,Fixed, ,0.12, , ,12 months,$45.00,No automatic renewal,100%,No,,$72.00,11/10/19 16:14,False,17
Direct Energy Services,Fixed, ,0.1219, , ,14 months, ,Variable-price product,100%,No,,$73.14,11/10/19 16:14,False,18
Just Energy Massachusetts,Fixed, ,0.12390000000000001, , ,36 months,$50.00,Variable-price product, ,No,Rewards Programs,$74.34,11/10/19 16:14,False,19
Just Energy Massachusetts,Fixed, ,0.1249, , ,24 months,$50.00,Variable-price product, ,No,Rewards Programs,$74.94,11/10/19 16:14,False,20
Constellation New Energy,Fixed, ,0.1249, , ,6 months,$150.00,Variable-price product, ,No,,$74.94,11/10/19 16:14,False,21
Massachusetts Gas & Electric,Fixed, ,0.1249, , ,12 months,$10.00 per month remaining on term,Variable-price product, ,No,,$74.94,11/10/19 16:14,False,22
Ambit Energy,Fixed, ,0.125, , ,12 months, ,Variable-price product, ,No,,$75.00,11/10/19 16:14,False,23
Sunwave Gas & Power,Fixed, ,0.1257, , ,12 months,$50.00,Fixed-price product, ,No,,$75.42,11/10/19 16:14,False,24
Direct Energy Services,Fixed, ,0.12689999999999999, , ,18 months, ,No automatic renewal,100%,No,,$76.14,11/10/19 16:14,False,25
Discount Power,Fixed, ,0.12, ,$50.00,12 months,$50.00,Variable-price product,100%,No,,$76.17,11/10/19 16:14,False,26
IGS Energy,Fixed, ,0.12789999999999999, , ,36 months,$99.00,Variable-price product,100%,No,,$76.74,11/10/19 16:14,False,27
Constellation New Energy,Fixed, ,0.12789999999999999, , ,24 months,$150.00,Fixed-price product,100%,No,,$76.74,11/10/19 16:14,False,28
CleanChoice Energy,Fixed, ,0.128, , ,12 months, ,Fixed-price product,100%,No,"Rewards Programs,Sponsored Promotions",$76.80,11/10/19 16:14,False,29
Discount Power,Fixed, ,0.128, , ,36 months,$200.00,Variable-price product,100%,No,Rewards Programs,$76.80,11/10/19 16:14,False,30
IGS Energy,Fixed, ,0.12890000000000001, , ,12 months,$99.00,Variable-price product, ,No,,$77.34,11/10/19 16:14,False,31
Verde Energy USA,Fixed, ,0.12990000000000002, , ,24 months, ,Variable-price product,100%,No,Cash Back,$77.94,11/10/19 16:14,False,32
Constellation New Energy,Fixed, ,0.12990000000000002, , ,12 months,$150.00,Fixed-price product,100%,No,,$77.94,11/10/19 16:14,False,33
Verde Energy USA,Fixed, ,0.12990000000000002, , ,12 months, ,Variable-price product,100%,No,Cash Back,$77.94,11/10/19 16:14,False,34
Discount Power,Fixed, ,0.13, , ,24 months,$100.00,Variable-price product,100%,No,Rewards Programs,$78.00,11/10/19 16:14,False,35
Massachusetts Gas & Electric,Fixed, ,0.1309, , ,24 months,$10.00 per month remaining on term,Variable-price product, ,No,,$78.54,11/10/19 16:14,False,36
Think Energy,Fixed, ,0.132, , ,6 months,$45.00,No automatic renewal,100%,No,,$79.20,11/10/19 16:14,False,37
Think Energy,Fixed, ,0.132, , ,18 months,$45.00,No automatic renewal,100%,No,,$79.20,11/10/19 16:14,False,38
Discount Power,Fixed,$4.95,0.125, , ,12 months,$50.00,Variable-price product,100%,No,Rewards Programs,$79.95,11/10/19 16:14,False,39
NRG Home,Fixed, ,0.135, , ,12 months,$10.00 per month remaining on term,Variable-price product, ,No,,$81.00,11/10/19 16:14,False,40
SFE Energy Massachusetts,Fixed, ,0.1369,12.32 cents/kWh for initial 1 months, ,36 months,$2.50 per month remaining on term,Fixed-price product, ,No,,$81.91,11/10/19 16:14,False,41
Green Mountain Energy,Fixed, ,0.13699999999999998, , ,12 months, ,Variable-price product,100%,No,,$82.20,11/10/19 16:14,False,42
Town Square Energy,Fixed, ,0.13970000000000002, , ,12 months, ,Variable-price product,100%,No,,$83.82,11/10/19 16:14,False,43
Eligo Energy MA,Fixed, ,0.142, , ,6 months,$10.00 per month remaining on term,Variable-price product, ,No,,$85.20,11/10/19 16:14,False,44
Sunwave Gas & Power,Fixed, ,0.1439, , ,6 months,$50.00,Fixed-price product, ,No,,$86.34,11/10/19 16:14,False,45
Eligo Energy MA,Fixed, ,0.14400000000000002, , ,6 months,$10.00 per month remaining on term,Variable-price product,100%,No,,$86.40,11/10/19 16:14,False,46
Ambit Energy,Fixed, ,0.145, , ,12 months, ,Variable-price product,100%,No,,$87.00,11/10/19 16:14,False,47
Ambit Energy,Fixed, ,0.1475, , ,6 months, ,Variable-price product, ,No,,$88.50,11/10/19 16:14,False,48
NRG Home,Fixed, ,0.149, , ,6 months,$10.00 per month remaining on term,Variable-price product, ,No,,$89.40,11/10/19 16:14,False,49
SmartEnergy,Fixed, ,0.149, , ,6 months, ,Variable-price product,100%,No,,$89.40,11/10/19 16:14,False,50
Verde Energy USA,Fixed, ,0.1499, , ,6 months, ,Variable-price product,100%,No,,$89.94,11/10/19 16:14,False,51
SFE Energy Massachusetts,Fixed, ,0.1567,14.30 cents/kWh for initial 1 months, ,36 months,$2.50 per month remaining on term,Fixed-price product, ,No,"Carbon Offset,Cash Back",$93.79,11/10/19 16:14,False,52
Indra Energy MA,Fixed, ,0.162,13.40 cents/kWh for initial 1 months, ,14 months, ,Variable-price product, ,No,,$96.00,11/10/19 16:14,False,53
Eligo Energy MA,Fixed, ,0.1603, , ,12 months,$10.00 per month remaining on term,Variable-price product, ,No,,$96.18,11/10/19 16:14,False,54
Eligo Energy MA,Fixed, ,0.1623, , ,12 months,$10.00 per month remaining on term,Variable-price product,100%,No,,$97.38,11/10/19 16:14,False,55
Indra Energy MA,Fixed, ,0.16399999999999998,13.40 cents/kWh for initial 1 months, ,18 months, ,Variable-price product,100%,No,,$97.40,11/10/19 16:14,False,56
